title,seasons_count,episodes_count,ratings,vote_count,popularity,original_language,overview,genres,production_details,air_years,cast,keywords,imdb_id,networks,country_of_origin
Better Call Saul,6,63,9.0,725000,6525.0,English,"Six years before Saul Goodman meets Walter White. We meet him when the man who will become Saul Goodman is known as Jimmy McGill, a small-time lawyer searching for his destiny, and, more immediately, hustling to make ends meet. Working alongside, and, often, against Jimmy, is “fixer” Mike Ehrmantraut. The series tracks Jimmy’s transformation into Saul Goodman, the man who puts “criminal” in “criminal lawyer"".","Crime, Drama","Sony Pictures Television Studios, AMC Studios, High Bridge Productions, Gran Via Productions; breaking bad franchise; prequel that focuses on jimmy mcgill",2015-2022,"Bob Odenkirk: Jimmy McGill, Rhea Seehorn: Kim Wexler, Jonathan Banks: Mike Ehrmantraut, Patrick Fabian: Howard Hamlin, Michael Mando: Nacho Varga, Giancarlo Esposito: Gus Fring, Michael McKean: Chuck McGill, Tony Dalton: Lalo Salamanca, Mark Margolis: Hector Salamanca, Kerry Condon: Stacey Ehrmantraut","mike, howard, client, return, tell, tuco, twin, visit, scam, albuquerque, house, day, flashback, explain, deal, hire, lawyer, demand, call, bar, office, home, con, document, embezzle, dollar, phone, job, ask, steal, detective, reveal, prove, take, offer, law, money, refuse, partner, receive, case, fee, crossing, kaylee, jail, meeting, nail, attorney, night, confront",tt3032476,AMC,United States
Peaky Blinders,6,36,8.7,706000,6142.2,English,"A gangster family epic set in 1919 Birmingham, England and centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby, who means to move up in the world.","Drama, Crime","Tiger Aspect, BBC Studios, Caryn Mandabach Productions, Screen Yorkshire; 6",2013-2022,"Cillian Murphy: Thomas Shelby, Paul Anderson: Arthur Shelby, Sophie Rundle: Ada Shelby …, Helen McCrory: Polly Gray …, Ned Dennehy: Charlie Strong, Finn Cole: Michael Gray, Natasha O'Keeffe: Lizzie Stark, Ian Peck: Curly, Harry Kirton: Finn Shelby, Packy Lee: Johnny Dogs","tommy, gang, world, war, social, power, pursuit, loyalty, campbell, grapple, ruthless, violence, ambition, clash, complex, threat, narrative, class, family, criminal, struggle, control, police, bring, series, lead, face, unwavering, shed, trail, politic, portray, turmoil, sprawl, uncertainty, unfold, evade, flat, earn, england, delve, criminal underworld, dynamic, dream, big threat, blade, activity, betrayal, dealing, dedicate",tt2442560,"BBC One, BBC Two",United Kingdom
True Detective,4,30,8.9,699000,6221.1,English,"An American anthology police detective series utilizing multiple timelines in which investigations seem to unearth personal and professional secrets of those involved, both within or outside the law.",Drama,"Passenger, Anonymous Content, Lee Caplin / Picture Entertainment, PASTEL, Neon Black, Parliament of Owls, HBO",2014-2019,"Vince Vaughn: Frank Semyon, Colin Farrell: Detective Ray Velcoro, Rachel McAdams: Detective Ani Bezzerides, Taylor Kitsch: Officer Paul Woodrugh, Matthew McConaughey: Detective Rust Cohle, Mahershala Ali: Detective Wayne Hays, Woody Harrelson: Detective Marty Hart, Carmen Ejogo: Amelia Reardon, Michelle Monaghan: Maggie Hart, Stephen Dorff: Detective Roland West","hunt, detective, case, year series, opening, timeline, series feature, crossing, path, louisiana, season focus, martin, feature, jump, serial killer, killer, multiple, serial, focus, season, end, time, year, series",tt2356777,HBO,United States
Black Mirror,6,26,8.7,681000,5924.7,English,"Over the last ten years, technology has transformed almost every aspect of our lives before we've had time to stop and question it. In every home; on every desk; in every palm - a plasma screen; a monitor; a smartphone - a black mirror of our 21st Century existence.","Sci-Fi & Fantasy, Drama, Mystery","House of Tomorrow, Zeppotron; The Black Mirror",2011-2023,"Cristin Milioti: Nanette Cole, Jimmi Simpson: Walton, Jesse Plemons: Robert Daly, Billy Magnussen: Karl …, Wunmi Mosaku: Katie …, Monica Dolan: CS Linda Grace …, Milanka Brooks: Elena Tulaska, Osy Ikhile: Nate Packer, Daniel Lapaine: Dawson …, Hannah John-Kamen: Selma Telse …","false, talent, fake, memory, commercial, screen, obsess, people, dark, episode, future, different, technology, internet, theme, party, affair, idea, fictional, wrong, show, small, play, set, go, mirror, life work, minister, popularity, prime minister, near future, play game, social medium, satire, scam, way go, reference, near, nintendo, pig, follow man, implant, meaning, impact, different focus, advertising, contemporary, channel, ending, dispense",tt2085059,"Channel 4, Netflix",United Kingdom
Squid Game,2,9,8.0,658000,5264.0,Korean,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games—with high stakes. But, a tempting prize awaits the victor.","Action & Adventure, Mystery, Drama","Siren Pictures, Firstman Studio; Mass media franchises introduced in 2021",2021-2021,"Lee Jung-jae: Seong Gi-hun, Tom Choi: Front Man …, Greg Chun: Choi Seung-hyun …, Wi Ha-joon: Hwang Jun-ho, Lee Byung-hun: Front Man …, Jeon Young-soo: Game Guide …, Park Hae-soo: Cho Sang-woo, Hoyeon: Kang Sae-byeok …, Kim Byung-cheol: Instructions Guard, Yasushi Iwaki: Others","game, prize, player, deadly, korean, opportunity, stake, debt, win, survival, island, play, child, tag, wreck, johnny sentinel, high stake, dollar, crowd, compete, abduct, 1970, cash, life reason, ultimate, strap, sentinel, offer opportunity, offense, play game, stranger, take, addiction, gambling, await, participate, defense, winner, take place, board, popular, shape, hundred, johnny, version, lock, type, mean, south, jump",tt10919420,Netflix,South Korea
Rick and Morty,7,71,9.1,645000,5869.5,English,"Rick is a mentally-unbalanced but scientifically gifted old man who has recently reconnected with his family. He spends most of his time involving his young grandson Morty in dangerous, outlandish adventures throughout space and alternate universes. Compounded with Morty's already unstable family life, these events cause Morty much distress at home and school.","Animation, Comedy, Sci-Fi & Fantasy, Action & Adventure","Williams Street, Harmonious Claptrap, Justin Roiland's Solo Vanity Card Productions, Starburns Industries, Green Portal Productions",2013-2022,"Chris Parnell: Jerry Smith …, Spencer Grammer: Summer Smith …, Sarah Chalke: Beth Smith …, Justin Roiland: Rick Sanchez …, Kari Wahlgren: Jessica …, Maurice LaMarche: Abradolph Lincler …, Dan Harmon: Birdperson …, Tom Kenny: Squanchy …, Nolan North: Additional Voices …, Ryan Ridley: Additional Voices …","trouble, mind, travel find, alcoholic, trouble create, family life, misadventure, rick, domestic, clever, blow, parallel, scientist, split, reality, action, series follow, travel, create, way, family, time, follow, find, series",tt2861424,Adult Swim,United States
The Last of Us,1,9,8.7,625000,5437.5,English,"Twenty years after modern civilization has been destroyed, Joel, a hardened survivor, is hired to smuggle Ellie, a 14-year-old girl, out of an oppressive quarantine zone. What starts as a small job soon becomes a brutal, heartbreaking journey, as they both must traverse the United States and depend on each other for survival.",Drama,"PlayStation Productions, Sony Pictures Television Studios, Naughty Dog, Word Games, The Mighty Mint, HBO",2023-2023,"Pedro Pascal: Joel Miller, Bella Ramsey: Ellie Williams, Gabriel Luna: Tommy Miller, Merle Dandridge: Marlene, Kaitlyn Dever: Abby Anderson, Anna Torv: Theresa 'Tess' Servopoulos, Samuel Hoeksema: Clicker …, Rutina Wesley: Maria Miller, Catherine O'Hara: Gail, Molly Scarpine: Stalker","survivor, firefly, harden, civilization, girl, year old, destroy, year, old, resistance, opportunity, miller, fast, heartbreaking, know live, offer opportunity, prison run, oppressive, zone, centre, help, key, smuggle, zombie, world, global, survival, leader, humanity, modern, brutal, prison, hire, ruin, safe, charge, hope, journey, local, hold, grantss, offer, government, large, survive, job, small, brother, run, group",tt3581920,HBO,"Canada, United States"
Prison Break,5,88,8.3,624000,5179.2,English,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside out.","Action & Adventure, Crime, Drama","Prison Break Productions, Adelstein-Parouse Productions, Original Television, 20th Century Fox Television",2005-2017,"Dominic Purcell: Lincoln 'Linc' Burrows …, Wentworth Miller: Michael Scofield, Amaury Nolasco: Fernando Sucre, Robert Knepper: Theodore 'T-Bag' Bagwell, Sarah Wayne Callies: Sara Tancredi …, Wade Williams: Brad Bellick, William Fichtner: Alexander Mahone …, Paul Adelstein: Paul Kellerman, Rockmond Dunbar: Benjamin Miles 'C-Note' Franklin, Jodi Lyn O'Keefe: Gretchen Morgan …","michael, company, prison, season, escape, fox, river, president, inmate, bag, brother, team, plan, outside, agent, kill, nick, paul, trial, reveal, access, break, guard, season follow, general, alive, want, follow, discover, manage, capture, morgan, jail, pair, recruit, vice president, miami, bounty, dead, money, suspect, wayne, manage escape, county, sarah, vice, fugitive, reynolds, frame, federal",tt0455275,FOX,United States
The Mandalorian,3,24,8.6,621000,5340.6,English,"After the fall of the Galactic Empire, lawlessness has spread throughout the galaxy. A lone gunfighter makes his way through the outer reaches, earning his keep as a bounty hunter.","Sci-Fi & Fantasy, Action & Adventure, Drama","Lucasfilm Ltd., Golem Creations, Fairview Entertainment",2019-2023,"Pedro Pascal: The Mandalorian, Chris Bartlett: Nevarro Copper Droid …, Katee Sackhoff: Bo-Katan Kryze, Carl Weathers: Greef Karga, Giancarlo Esposito: Moff Gideon, Emily Swallow: The Armorer …, Brendan Wayne: The Mandalorian …, Misty Rosas: Kuiil Performance Artist …, Leilani Shiu: Jawa …, Lateef Crowder: The Mandalorian","galaxy, outer, reach, hunter, bounty, empire, authority, fall, travel, foe, advantage, search safe, reluctant, unexpected, warrior, emergence, enigmatic, emerge, lawless, apprehend, task, bond, malik, strong, malik haider, haider, universe, unlikely, new, ally, safe, connection, target, pursue, star, seek, year old, order, form, war, deal, home, search, set, old, try, force, live, year, follow",tt8111088,Disney+,United States
The Queen's Gambit,1,7,8.5,613000,5210.5,English,"In a Kentucky orphanage in the 1950s, a young girl discovers an astonishing talent for chess while struggling with addiction.",Drama,"Flitcraft, Wonderful Films",2020-2020,"Anya Taylor-Joy: Beth Harmon, Chloe Pirrie: Alice Harmon, Bill Camp: Mr. Shaibel, Marcin Dorocinski: Vasily Borgov, Marielle Heller: Alma Wheatley, Thomas Brodie-Sangster: Benny Watts, Moses Ingram: Jolene, Harry Melling: Harry Beltik, Isla Johnston: Young Beth Harmon, Janina Elkin: Borgov's Wife","body, grand, addiction, champion, talent, sleeve, quest, master, queen, people, grow, world, human, love, include, natural, include russian, inner, compelling, inhabit, joy, high stake, breathtake, audience, adoption, 1960, benny, cinematography, delf theme, demonstrate, lauren, prodigy, possess, remarkable, fulfillment, gender, implant, difficult, storytelling, thank, outstanding, potential, upbringing, profile, path, player, alcohol, achieve, awaken, befriend",tt10048342,Netflix,United States
The Witcher,3,24,7.9,594000,4692.6,English,"Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts.","Drama, Action & Adventure, Sci-Fi & Fantasy","Sean Daniel Company, Platige Image, Hivemind, Little Schmidt Productions, Platige Films",2019-2023,"Freya Allan: Ciri, Henry Cavill: Geralt of Rivia, Anya Chalotra: Yennefer, Eamon Farren: Cahir, Mimî M Khayisa: Fringilla, MyAnna Buring: Tissaia, Joey Batey: Jaskier, Wilson Mbomio: Dara, Anna Shaffer: Triss, Royce Pierreson: Istredd","monster, hunter, destiny, princess, struggle, fantasy, world people, wicked, solitary, continent, prove, rule, special, empire, queen, great, world, human, place, power, friend, spread, series create, put life, poverty, possess, protective, refugee, book series, companion include, enlarge, lauren, kill monster, loom, job pay, heroic, fashion, great danger, sudden, warrior, web, turmoil, tough love, people, young, writer, schmidt, actual, mutant, victim",tt5180504,Netflix,"Poland, Hungary, United States, United Kingdom"
Band of Brothers,1,10,9.4,559000,5254.6,English,"Drawn from interviews with survivors of Easy Company, as well as their journals and letters, Band of Brothers chronicles the experiences of these men from paratrooper training in Georgia through the end of the war. As an elite rifle company parachuting into Normandy early on D-Day morning, participants in the Battle of the Bulge, and witness to the horrors of war, the men of Easy knew extraordinary bravery and extraordinary fear - and became the stuff of legend. Based on Stephen E. Ambrose's acclaimed book of the same name.","Drama, War & Politics","HBO Films, DreamWorks Television, DreamWorks Pictures, BBC Television Centre, Playtone",2001-2001,"Scott Grimes: Donald G. Malarkey, Damian Lewis: Richard D. Winters, Ron Livingston: Lewis Nixon, Shane Taylor: Eugene G. Roe, Donnie Wahlberg: C. Carwood Lipton, Peter Youngblood Hills: Darrell C. (Shifty) Powers, Matthew Leitch: Floyd M. (Tab) Talbert, Nicholas Aaron: Robert E. (Popeye) Wynn, Philip Barantini: Wayne A. (Skinny) Sisk, Michael Cudlitz: Denver (Bull) Randleman","division, company, parachute, regiment, extraordinary, world war, europe, training, war, end world, army, operation, tale, end, action, world, day, hour day, letter, landing, liberate, garden, journal, initial, participation, ordinary, retreat, interview, man, participate, man know, beach, fascinating, market, mission, united states, hour, early, soldier, states, united, mountain, support, fear, jump, young man, chronicle, survivor, major, series",tt0185906,HBO,"United Kingdom, United States"
House,8,177,8.7,555000,4828.5,English,"Dr. Gregory House, a drug-addicted, unconventional, misanthropic medical genius, leads a team of diagnosticians at the fictional Princeton–Plainsboro Teaching Hospital in New Jersey.","Drama, Mystery","Universal Television, Bad Hat Harry Productions, Heel & Toe Films, Shore Z Productions",2004-2012,"Hugh Laurie: Dr. Gregory House, Omar Epps: Dr. Eric Foreman, Robert Sean Leonard: Dr. James Wilson, Jesse Spencer: Dr. Robert Chase, Lisa Edelstein: Dr. Lisa Cuddy, Bobbin Bergstrom: Nurse …, Jennifer Morrison: Dr. Allison Cameron, Peter Jacobson: Dr. Chris Taub, Olivia Wilde: Thirteen, Kal Penn: Dr. Lawrence Kutner","house, disease, episode, lie, team, mystery, lead, deduce, nintendo, diagnose, problem, hospital, cause, game, play, play video, mandatory, waiting, video game, waiting room, subplot, hugh, manner, impress, jersey, medication, help solve, disorder, advance, fulfillment, new jersey, proclaim, realization, cold, method, opinion, treatment, assume, attention, course, room, hate, video, treat, main, minute, decision, genius, affair, simple",tt0412142,FOX,United States
Westworld,4,36,8.4,547000,4594.8,English,"A dark odyssey about the dawn of artificial consciousness and the evolution of sin. Set at the intersection of the near future and the reimagined past, it explores a world in which every human appetite, no matter how noble or depraved, can be indulged.","Sci-Fi & Fantasy, Western","Warner Bros. Television, Jerry Weintraub Productions, Bad Robot, Kilter Films",2016-2022,"Evan Rachel Wood: Dolores Abernathy …, Jeffrey Wright: Bernard Lowe, Ed Harris: Man in Black, Thandiwe Newton: Maeve Millay, Tessa Thompson: Charlotte Hale, James Marsden: Teddy Flood, Luke Hemsworth: Ashley Stubbs, Angela Sarafyan: Clementine Pennyfeather, Anthony Hopkins: Dr. Robert Ford, Aaron Paul: Caleb Nichols","indulge, park, fantasy, near, near future, human, guest, consequence, allow, ahmetkozan, future, set, sin, typical, inspire, host, vacationer, visitor, evolution, dawn, ford, futuristic, intend, joy, nolan, lisa, encourage, sir, wild, science fiction, fiction, world, michael, wish, desire, imagine, jonathan, theme, robert, wait, science, rich, jwelch5742, explore, dark, past, look, create, live, series",tt0475784,HBO,United States
The Sopranos,6,86,9.2,521000,4793.2,English,"The story of New Jersey-based Italian-American mobster Tony Soprano and the difficulties he faces as he tries to balance the conflicting requirements of his home life and the criminal organization he heads. Those difficulties are often highlighted through his ongoing professional relationship with psychiatrist Jennifer Melfi. The show features Tony's family members and Mafia associates in prominent roles and story arcs, most notably his wife Carmela and his cousin and protégé Christopher Moltisanti.",Drama,HBO,1999-2007,"James Gandolfini: Tony Soprano, Lorraine Bracco: Dr. Jennifer Melfi, Edie Falco: Carmela Soprano, Michael Imperioli: Christopher Moltisanti, Steven Van Zandt: Silvio Dante, Robert Iler: A.J. Soprano, Tony Sirico: Paulie 'Walnuts' Gualtieri, Jamie-Lynn Sigler: Meadow Soprano, Dominic Chianese: Junior Soprano, Aida Turturro: Janice Soprano …","tony, therapy, mob, jersey, boss, professional, adult, black, seek, home, mother, weak, term, spirited, loss, mafia, feds, aggressive, intimate, innovative, mental state, personal professional, perspective, new jersey, psychiatrist, retirement, fit, describe, extreme, com, circle, additional, moment, violence, uncle, rest, arm, mean, north, fear, community, conversation, comedy, mental, teenage, fictional, serial, engineer, age, refuse",tt0141842,HBO,United States
Marvel's Daredevil,3,39,8.6,501000,4308.6,English,Lawyer-by-day Matt Murdock uses his heightened senses from being blinded as a young boy to fight crime at night on the streets of Hell’s Kitchen as Daredevil.,"Crime, Drama, Action & Adventure","ABC Studios, DeKnight Productions, Goddard Textiles, Marvel Television; marvel cinematic universe",2015-2018,"Charlie Cox: Matt Murdock …, Vincent D'Onofrio: Wilson Fisk, Deborah Ann Woll: Karen Page, Elden Henson: Foggy Nelson, Royce Johnson: Sgt. Brett Mahoney …, Geoffrey Cantor: Mitchell Ellison …, Jay Ali: Ray Nadeem, Jon Bernthal: Frank Castle …, Stephen Rider: Blake Tower, Wilson Bethel: Benjamin 'Dex' Poindexter","matt, castle, karen, page, kill, stick, tell, hand, blake, agree, police, attack, apartment, take, reveal, vigilante, visit, firm, offer, man, confront, escape, hospital, punisher, leave, information, find, learn, ally, frank, hoffman, union, fight, help, building, scandal, explain, give, deal, defeat, recover, home, involvement, roof, send, case, wound, discover, russian, unable",tt3322312,Netflix,United States
